leading_item_id,following_item_id,value
JSLXRQOK,XIFHSOWQ,83885
XIIEJNEE,IGDVVKUD,6879
XIIEJNEE,DJBLNPNC,631
QVLMOEYE,XIFHSOWQ,40454
FDXPMYGF,MIRCVAMV,42555
ZKENOUDA,DEWLVASR,343300
QRKRBYJL,QVLMOEYE,1225051
BLANHGYY,BSRMSVTC,459846
NAQIHUKZ,FTSVTTSR,0
AXULOHBQ,LUENUFGA,3203215
XIFHSOWQ,XIPPENFQ,124250
NAQIHUKZ,LLHREMKS,0
VBYCLTYZ,QVLMOEYE,1180601
FDXPMYGF,XIPPENFQ,117945
VWMBASNE,MIRCVAMV,14472
FTSVTTSR,LLHREMKS,22946
FDXPMYGF,XIFHSOWQ,36141
XIFHSOWQ,MIRCVAMV,9483
BLANHGYY,XIFHSOWQ,28605
DJBLNPNC,VWMBASNE,0
DJBLNPNC,FDXPMYGF,0
AANGBULD,ZCELVYQU,117422
ZKENOUDA,KJNSOAHR,12104024
AXULOHBQ,XIPPENFQ,130267
XIIEJNEE,FDXPMYGF,1441
BUZIIBYG,FDXPMYGF,1497
XIIEJNEE,BLANHGYY,0
ZCELVYQU,OGAFEHLU,932
QRKRBYJL,AXULOHBQ,41150
XIIEJNEE,BSRMSVTC,321992
QVLMOEYE,FDXPMYGF,1130
ZGJXVMNI,DEWLVASR,335264
SAHWCZNH,ZGJXVMNI,3163035
BLANHGYY,VWMBASNE,0
JSLXRQOK,LLHREMKS,30442
GYHKIVQT,EVBVXETX,5706961
BLANHGYY,XIPPENFQ,118397
LUENUFGA,NZKBIBNU,215039
VUAFAIYJ,LSOIUSXD,105084
MBSBZBXA,DNMPSKTB,5104137
RCBZUSIM,AXULOHBQ,40464
IGDVVKUD,VMAQSTJE,28340
XUOIQPFL,QVLMOEYE,931692
QRKRBYJL,DNMPSKTB,5099379
DJBLNPNC,OGAFEHLU,2623
ATLDMDBO,AXULOHBQ,45594
MIRCVAMV,JSLXRQOK,64
BLANHGYY,KEUWZRKO,0
IGDVVKUD,BSRMSVTC,247166
QRKRBYJL,LPHPPJUG,1154629
DEWLVASR,OKMBFVKS,1281713
AANGBULD,DEWLVASR,303311
LUENUFGA,XIPPENFQ,96615
AANGBULD,ZXERAXWP,28029
QVLMOEYE,DNMPSKTB,5168469
ZKENOUDA,ELQGMQWE,422755
QVLMOEYE,LUENUFGA,3098918
YSYHGLQK,GYHKIVQT,23363833
AANGBULD,OKMBFVKS,1185807
JSLXRQOK,FTSVTTSR,133540
DEWLVASR,UIFPPCLR,68985
QRKRBYJL,XIFHSOWQ,27379
BLANHGYY,OGAFEHLU,0
ZGJXVMNI,ZKENOUDA,378126
DEWLVASR,ZXERAXWP,32401
FTSVTTSR,ZXERAXWP,28659
MBSBZBXA,VBYCLTYZ,266101
KEUWZRKO,SAHWCZNH,1814355
ZKENOUDA,UIFPPCLR,87017
AANGBULD,KJNSOAHR,11767145
SAHWCZNH,XIFHSOWQ,24292
SDWAYPIK,QVLMOEYE,982503
AXULOHBQ,XIFHSOWQ,35721
VBYCLTYZ,XIFHSOWQ,38635
RCBZUSIM,LUENUFGA,2761278
LRVGFDFM,WBLJNPZQ,98426
ATLDMDBO,QRKRBYJL,2243348
QVLMOEYE,AXULOHBQ,37541
JERHKLYW,JPBRUTWP,5158264
KEUWZRKO,XIFHSOWQ,23810
QVLMOEYE,OGAFEHLU,6959
BTMOEMEP,BSRMSVTC,253618
SAHWCZNH,LUENUFGA,2820271
ZGJXVMNI,SDWAYPIK,4870917
ZGJXVMNI,KJNSOAHR,13822312
ZGJXVMNI,QVLMOEYE,900281
ZKENOUDA,OKMBFVKS,1203440
OGAFEHLU,VWMBASNE,130750
ZGJXVMNI,GYHKIVQT,19136829
AXULOHBQ,SAHWCZNH,1599168
BSRMSVTC,XIFHSOWQ,20394
QRKRBYJL,VBYCLTYZ,581550
QRKRBYJL,LUENUFGA,2300779
KAGJCHMR,DEWLVASR,411508
JSLXRQOK,LUENUFGA,3273952
FDXPMYGF,VWMBASNE,92755
JSLXRQOK,NAQIHUKZ,78
XIIEJNEE,VBYCLTYZ,0
XIFHSOWQ,LUENUFGA,2914662
SDWAYPIK,GYHKIVQT,18445000
VBYCLTYZ,DNMPSKTB,5489732
MIRCVAMV,FTSVTTSR,125576
XIIEJNEE,VMAQSTJE,0
VWMBASNE,LTOYKIML,264018
QRKRBYJL,GYHKIVQT,20743025
ATLDMDBO,RAWUKQMJ,3591945
GYHKIVQT,FDXPMYGF,2287
VWMBASNE,CCLHWFWF,22242764
BSRMSVTC,XIPPENFQ,128135
QVLMOEYE,LPHPPJUG,1312111
LSOIUSXD,VUAFAIYJ,439060
AANGBULD,FTSVTTSR,0
XIPPENFQ,AANGBULD,417270
QRKRBYJL,RCBZUSIM,30394
SAHWCZNH,KEUWZRKO,366750
ZKENOUDA,GYHKIVQT,21510790
BLANHGYY,LUENUFGA,3500346
DEWLVASR,ELQGMQWE,492732
JSLXRQOK,ZCELVYQU,201979
AXULOHBQ,KEUWZRKO,373940
GYHKIVQT,FQCLOEXA,1977408
OGAFEHLU,QVLMOEYE,843421
ATLDMDBO,RJGPVEXX,585879
IGDVVKUD,DJBLNPNC,430
XIPPENFQ,MIRCVAMV,7801
QVLMOEYE,UGEQLMXM,137409
DJBLNPNC,XIFHSOWQ,47003
KEUWZRKO,LUENUFGA,3040197
LTOYKIML,APQGTRMF,114835
BSRMSVTC,KEUWZRKO,344525
AANGBULD,UIFPPCLR,99962
DEWLVASR,KJNSOAHR,11486542
XIIEJNEE,HXYSSRXE,5524524
SDWAYPIK,LPHPPJUG,1233138
DBWLZWNK,FDXPMYGF,710
LSOIUSXD,FCYBOAXC,108513057
QRKRBYJL,ATLDMDBO,41636222
LUENUFGA,ZGJXVMNI,2520599
XIIEJNEE,BTMOEMEP,10582115
QRKRBYJL,RJGPVEXX,553677
ATLDMDBO,DNMPSKTB,5074160
ZGJXVMNI,OKMBFVKS,1253255
GYHKIVQT,LUENUFGA,2858507
IGDVVKUD,HXYSSRXE,5215213
KAGJCHMR,AANGBULD,411087
RCBZUSIM,XIFHSOWQ,26982
LRVGFDFM,QVLMOEYE,951880
ZKENOUDA,ZCELVYQU,190193
ZGJXVMNI,DNMPSKTB,5116267
ZKENOUDA,APQGTRMF,108696
VBYCLTYZ,HXYSSRXE,5587651
VBYCLTYZ,BSRMSVTC,284639
AXULOHBQ,BSRMSVTC,296730
BLANHGYY,SAHWCZNH,0
IGDVVKUD,BLANHGYY,66707
DNMPSKTB,EVBVXETX,5519773
IGDVVKUD,FDXPMYGF,1172
AANGBULD,ELQGMQWE,584656
ZKENOUDA,ZXERAXWP,21074
ATLDMDBO,QVLMOEYE,983183
MBSBZBXA,RAWUKQMJ,3797397
XIFHSOWQ,RJGPVEXX,569546
WBLJNPZQ,SNHYOVBM,155657
MIRCVAMV,AANGBULD,505062
ZGJXVMNI,APQGTRMF,147347
XIPPENFQ,JSLXRQOK,159
RCBZUSIM,PYZMVUWD,376
XIIEJNEE,QVLMOEYE,0
ZKENOUDA,BEZYMBBT,3076377
ATLDMDBO,LPHPPJUG,1265124
LLHREMKS,ZCELVYQU,189329
IGDVVKUD,QVLMOEYE,844572
FDXPMYGF,LUENUFGA,3242556
VBYCLTYZ,AXULOHBQ,37813
IGDVVKUD,AXULOHBQ,47851
GKQIJYDH,VMAQSTJE,23313
VBYCLTYZ,FDXPMYGF,1522
DJBLNPNC,BSRMSVTC,0
ZGJXVMNI,RJGPVEXX,510827
LUENUFGA,XIFHSOWQ,46449
AXULOHBQ,FDXPMYGF,1649
SAHWCZNH,EVBVXETX,5483601
XUOIQPFL,QRKRBYJL,2230304
APQGTRMF,XIFHSOWQ,30198
LSOIUSXD,WBLJNPZQ,190697
ATLDMDBO,GYHKIVQT,23111048
QVLMOEYE,BSRMSVTC,263612
LRVGFDFM,FDXPMYGF,502
QRKRBYJL,BSRMSVTC,281345
VBYCLTYZ,OGAFEHLU,532
QVLMOEYE,RCBZUSIM,21854
VBYCLTYZ,QRKRBYJL,2179309
ATLDMDBO,SAHWCZNH,1863990
FWUCPMMW,LLHREMKS,0
BLANHGYY,FDXPMYGF,399
MIRCVAMV,NAQIHUKZ,0
XUOIQPFL,SDWAYPIK,5180133
LRVGFDFM,AXULOHBQ,43952
KAGJCHMR,FTSVTTSR,160093
QVLMOEYE,SAHWCZNH,1722010
QRKRBYJL,OGAFEHLU,2579
UGEQLMXM,VMAQSTJE,14761
UGEQLMXM,QVLMOEYE,978629
QRKRBYJL,SAHWCZNH,1443106
HXYSSRXE,EVBVXETX,5678070
ATLDMDBO,LUENUFGA,2795975
QVLMOEYE,QRKRBYJL,2150830
ZGJXVMNI,UIFPPCLR,56947
ZCELVYQU,FDXPMYGF,1378
XIFHSOWQ,ZGJXVMNI,2781332
LUENUFGA,EVBVXETX,5602531
IGDVVKUD,VBYCLTYZ,519840
SAHWCZNH,WPQXWHYO,11443840
NAQIHUKZ,ZXERAXWP,22618
BSRMSVTC,VMAQSTJE,26112
ZGJXVMNI,ZCELVYQU,220524
WQMVCOEM,UXSPKBJR,343861
ELQGMQWE,ZKENOUDA,415988
OGAFEHLU,QRKRBYJL,0
IGDVVKUD,DNMPSKTB,5097401
VUAFAIYJ,FCYBOAXC,98245619
AXULOHBQ,EVBVXETX,5220200
XIIEJNEE,AXULOHBQ,0
OGAFEHLU,WBLJNPZQ,133970
DJBLNPNC,HCDTGMST,0
DEWLVASR,ZKENOUDA,398790
QRKRBYJL,FDXPMYGF,680
XIIEJNEE,ROACSLMG,0
JERHKLYW,QVLMOEYE,884870
QRKRBYJL,SDWAYPIK,5260339
DJBLNPNC,FITUEHWN,0
FWUCPMMW,VWMBASNE,71920
UGEQLMXM,FDXPMYGF,548
DNMPSKTB,QVLMOEYE,1101022
ZGJXVMNI,XUOIQPFL,2013711
ZCELVYQU,XIFHSOWQ,0
ZKENOUDA,QVLMOEYE,948508
QRKRBYJL,PYZMVUWD,114
LUENUFGA,FQCLOEXA,1910058
WQMVCOEM,SAHWCZNH,1595519
LUENUFGA,ZKENOUDA,467741
AANGBULD,GKQIJYDH,3635804
VBYCLTYZ,ATLDMDBO,39352668
QRKRBYJL,EVBVXETX,5362800
VUAFAIYJ,APQGTRMF,81156
LUENUFGA,RJGPVEXX,663233
QVLMOEYE,BLANHGYY,40999
XIIEJNEE,HCDTGMST,0
DNMPSKTB,QRKRBYJL,1966596
ZGJXVMNI,QRKRBYJL,2367242
UGEQLMXM,BSRMSVTC,268647
QVLMOEYE,HXYSSRXE,5001631
DEWLVASR,GYHKIVQT,21509667
UGEQLMXM,SDWAYPIK,5194072
PYZMVUWD,XIPPENFQ,0
FDXPMYGF,BSRMSVTC,304489
HCDTGMST,ZGJXVMNI,2715930
MIRCVAMV,VUAFAIYJ,493890
VWMBASNE,JERHKLYW,3574
LTOYKIML,JPBRUTWP,5218160
QVLMOEYE,GYHKIVQT,20257075
BLANHGYY,VMAQSTJE,44448
VWMBASNE,JSLXRQOK,410
GYHKIVQT,LPHPPJUG,1287021
VBYCLTYZ,BTMOEMEP,8445079
RCBZUSIM,NZKBIBNU,262791
KEUWZRKO,ZGJXVMNI,2884549
ATLDMDBO,KEUWZRKO,293870
UXSPKBJR,WQMVCOEM,9901
SAHWCZNH,AXULOHBQ,45208
SDWAYPIK,UIFPPCLR,79427
SDWAYPIK,QRKRBYJL,2089237
MIRCVAMV,LLHREMKS,36074
FQCLOEXA,WQMVCOEM,3829
AXULOHBQ,NZKBIBNU,257239
VBYCLTYZ,SAHWCZNH,1546119
DNMPSKTB,XUOIQPFL,2159362
FDXPMYGF,OGAFEHLU,666
WQMVCOEM,XIFHSOWQ,36678
ZKENOUDA,AANGBULD,401064
VBYCLTYZ,BLANHGYY,52813
ATLDMDBO,XIFHSOWQ,25778
QVLMOEYE,VBYCLTYZ,548587
BTMOEMEP,HXYSSRXE,5085056
DNMPSKTB,GYHKIVQT,20874121
XIFHSOWQ,WPQXWHYO,10832456
ATLDMDBO,EVBVXETX,5642598
STZDBITS,XIIEJNEE,627
BLANHGYY,AXULOHBQ,34860
DEWLVASR,APQGTRMF,73637
XIPPENFQ,NAQIHUKZ,583
ZGJXVMNI,BEZYMBBT,2890459
KAGJCHMR,ZKENOUDA,367950
HXYSSRXE,KEUWZRKO,343512
ATLDMDBO,RCBZUSIM,10700
ZKENOUDA,SDWAYPIK,5433428
VUAFAIYJ,JERHKLYW,7440
SAHWCZNH,NZKBIBNU,228965
ATLDMDBO,HXYSSRXE,4928259
LUENUFGA,AXULOHBQ,52899
ZGJXVMNI,VBYCLTYZ,395513
DJBLNPNC,BLANHGYY,0
RJGPVEXX,KJNSOAHR,14049305
WPQXWHYO,UXSPKBJR,367124
AXULOHBQ,PYZMVUWD,73
ZKENOUDA,XUOIQPFL,2312742
QRKRBYJL,BLANHGYY,13174
VBYCLTYZ,KEUWZRKO,325602
APQGTRMF,SAHWCZNH,1438802
BTMOEMEP,SUOYXCHP,143
APQGTRMF,KEUWZRKO,291227
GYHKIVQT,KJNSOAHR,13406040
RAWUKQMJ,QJQJSWFU,140339
SAHWCZNH,UXSPKBJR,413104
OXKURKXR,SAHWCZNH,1654031
UIFPPCLR,KJNSOAHR,13924256
HXYSSRXE,WPQXWHYO,10421284
KAGJCHMR,XIIEJNEE,395
NZKBIBNU,LLHREMKS,35209
IGDVVKUD,FQCLOEXA,1901756
AXULOHBQ,WPQXWHYO,10605934
RJGPVEXX,VBYCLTYZ,399459
VWMBASNE,XIPPENFQ,101505
QRKRBYJL,HXYSSRXE,4829880
QRKRBYJL,UGEQLMXM,106385
FTSVTTSR,DEWLVASR,306543
XIFHSOWQ,VWMBASNE,123156
QVLMOEYE,APQGTRMF,98296
BTMOEMEP,RJGPVEXX,597328
QRKRBYJL,KEUWZRKO,294338
CCLHWFWF,WBLJNPZQ,132996
JSLXRQOK,LSOIUSXD,97323
UGEQLMXM,GYHKIVQT,22401445
RCBZUSIM,DNMPSKTB,5586135
LUENUFGA,UGEQLMXM,86889
KAGJCHMR,NAQIHUKZ,1323
OGAFEHLU,GYHKIVQT,20234250
FDXPMYGF,KEUWZRKO,220432
XIPPENFQ,QRKRBYJL,2094076
IGDVVKUD,RJGPVEXX,588259
DEWLVASR,SDWAYPIK,5116697
KEUWZRKO,XIPPENFQ,119569
DBWLZWNK,QVLMOEYE,927910
OKMBFVKS,FQCLOEXA,2079039
BTMOEMEP,KEUWZRKO,272026
RCBZUSIM,EVBVXETX,5483922
SAHWCZNH,RJGPVEXX,561195
UGEQLMXM,BTMOEMEP,7806864
VBYCLTYZ,LUENUFGA,2910903
ZGJXVMNI,UGEQLMXM,133933
DNMPSKTB,SDWAYPIK,5195150
QRKRBYJL,FQCLOEXA,2111225
UGEQLMXM,DJBLNPNC,160
FDXPMYGF,HCDTGMST,24529
RJGPVEXX,UIFPPCLR,90062
ATLDMDBO,VBYCLTYZ,439894
VUAFAIYJ,XIPPENFQ,136661
GYHKIVQT,ZKENOUDA,354700
XIIEJNEE,DNMPSKTB,5720448
QRKRBYJL,WPQXWHYO,10279835
SAHWCZNH,XIPPENFQ,103746
KAGJCHMR,BEZYMBBT,3481481
KEUWZRKO,EVBVXETX,5598154
XIIEJNEE,WQMVCOEM,18141
QVLMOEYE,LSOIUSXD,58329
OXKURKXR,QVLMOEYE,876908
DNMPSKTB,OKMBFVKS,1166292
ZGJXVMNI,ELQGMQWE,492199
EVBVXETX,WPQXWHYO,10933632
MIRCVAMV,LTOYKIML,0
LRVGFDFM,QRKRBYJL,2176221
DNMPSKTB,OGAFEHLU,1262
QRKRBYJL,BJALXPFS,237653
XIPPENFQ,VUAFAIYJ,511719
XIIEJNEE,QRKRBYJL,0
ATLDMDBO,BSRMSVTC,274386
AANGBULD,NAQIHUKZ,377
