iter	RMSE
0	13300050.91
1	13245053.04
2	13189628.96
3	13137115.55
4	13080127.96
5	13025561.68
6	12971741.69
7	12921898.85
8	12868611.56
9	12816038.91
10	12766759.79
11	12715198.4
12	12665740.51
13	12615073.9
14	12564942.53
15	12514471.41
16	12463571.89
17	12414767.52
18	12362666.65
19	12313338.84
20	12263616.08
21	12213610.12
22	12162543.27
23	12112313.41
24	12061911.48
25	12014859.59
26	11966954.36
27	11918531.83
28	11871339.26
29	11822768.33
30	11773193.68
31	11724819.42
32	11676386.29
33	11631118.32
34	11585526.19
35	11539125.68
36	11490179.65
37	11445078.85
38	11398870.22
39	11353263.75
40	11308532.42
41	11263183.34
42	11218202.71
43	11174690.48
44	11130384.44
45	11087492.22
46	11041491.75
47	11001975.96
48	10958362.19
49	10914269.06
50	10871488.1
51	10827485.1
52	10786385.97
53	10743759.18
54	10702455.58
55	10658586.69
56	10619707.4
57	10577889.53
58	10535202.33
59	10493239.96
60	10453014.06
61	10413799.66
62	10373174.05
63	10331778.56
64	10291154.89
65	10252586.26
66	10213040.41
67	10173012.84
68	10132965.26
69	10094725.81
70	10058785.2
71	10020932.15
72	9983709.225
73	9945353.229
74	9910443.358
75	9874630.766
76	9836920.771
77	9799859.606
78	9763331.263
79	9726995.123
80	9688802.761
81	9652935.068
82	9616462.637
83	9579948.99
84	9544652.898
85	9508505.337
86	9471948.255
87	9438413.738
88	9402608.488
89	9365522.355
90	9330020.335
91	9295497.303
92	9261172.898
93	9225762.737
94	9189557.268
95	9157442.419
96	9123408.083
97	9089534.408
98	9055587.623
99	9022493.879
100	8991367.656
101	8956877.798
102	8923107.412
103	8890587.494
104	8857902.998
105	8825382.343
106	8793325.853
107	8764052.134
108	8731406.051
109	8698380.516
110	8667184.55
111	8637447.73
112	8608313.443
113	8575327.937
114	8545830.342
115	8514915.45
116	8482566.423
117	8453346.581
118	8422182.718
119	8391405.404
120	8362081.595
121	8330451.916
122	8300809.401
123	8270801.47
124	8240995.009
125	8212267.433
126	8182980.708
127	8154315.615
128	8127875.708
129	8099920.492
130	8071532.952
131	8043490.964
132	8016026.529
133	7988871.718
134	7961815.634
135	7933866.267
136	7906696.043
137	7879839.397
138	7853079.044
139	7825489.434
140	7798239.997
141	7771237.863
142	7744791.333
143	7717802.458
144	7691077.725
145	7664958.014
146	7638005.222
147	7611705.434
148	7586202.48
149	7561098.681
150	7535681.18
151	7509560.853
152	7484016.468
153	7460052.068
154	7434863.912
155	7412627.043
156	7387453.384
157	7362672.392
158	7338432.805
159	7313204.615
160	7290246.421
161	7267063.023
162	7242983.448
163	7219728.758
164	7195185.077
165	7171579.306
166	7148032.885
167	7125475.372
168	7103611.323
169	7080380.971
170	7056549.031
171	7035464.718
172	7012688.86
173	6989494.591
174	6968407.693
175	6947435.42
176	6925094.365
177	6902011.003
178	6880885.157
179	6859046.896
180	6836801.9
181	6815347.61
182	6794375.66
183	6772507.92
184	6751655.784
185	6730008.385
186	6708732.337
187	6687614.467
188	6666863.235
189	6646229.388
190	6626881.211
191	6606164.507
192	6585238.995
193	6564719.992
194	6544647.611
195	6524855.471
196	6505704.987
197	6485955.718
198	6468557.841
199	6450171.157
200	6430364.679
201	6411966.224
202	6392534.894
203	6374837.897
204	6356483.302
205	6338538.369
206	6319317.924
207	6301317.475
208	6283225.293
209	6264717.652
210	6246438.207
211	6228541.502
212	6210214.84
213	6191912.862
214	6173365.844
215	6155825.105
216	6137385.484
217	6119281.584
218	6101274.122
219	6084532.745
220	6067874.566
221	6050646.226
222	6034078.316
223	6017102.209
224	5999715.079
225	5984105.276
226	5968279.449
227	5952344.023
228	5935694.972
229	5918680.894
230	5901945.436
231	5886396.603
232	5871456.808
233	5856205.506
234	5841118.418
235	5824838.709
236	5809763.585
237	5795142.178
238	5779785.525
239	5763635.582
240	5748893.897
241	5734282.679
242	5719365.473
243	5703763.411
244	5688415.97
245	5673700.559
246	5659134.821
247	5644913.417
248	5630130.078
249	5615998.558
250	5601413.722
251	5587401.154
252	5572885.985
253	5560132.07
254	5546016.771
255	5533184.275
256	5518736.119
257	5505035.872
258	5491319.185
259	5478283.924
260	5465219.197
261	5452073.579
262	5439542.542
263	5426399.42
264	5414188.869
265	5400732.573
266	5387958.799
267	5375324.911
268	5363372.966
269	5350570
270	5337268.609
271	5324592.024
272	5312712.973
273	5299842.091
274	5287814.305
275	5275992.546
276	5263996.595
277	5251511.587
278	5240888.822
279	5228181.637
280	5217257.669
281	5205839.003
282	5194116.935
283	5183046.769
284	5172482.967
285	5160950.593
286	5149723.748
287	5137864.512
288	5126732.455
289	5115533.721
290	5104986.48
291	5094953.803
292	5084065.307
293	5073843.99
294	5062830.124
295	5052375.539
296	5041686.164
297	5030587.919
298	5020856.583
299	5010700.606
300	4999900.35
301	4989360.078
302	4979996.312
303	4970081.909
304	4960824.879
305	4950994.874
306	4941055.887
307	4930716.898
308	4921113.699
309	4911164.791
310	4901623.058
311	4892242.53
312	4882851.058
313	4873493.702
314	4864896.606
315	4855664.688
316	4846242.776
317	4837754.203
318	4827990.165
319	4819316.768
320	4810330.936
321	4801272.549
322	4792406.893
323	4783549.765
324	4774891.434
325	4766318.73
326	4757427.501
327	4748703.148
328	4740415.964
329	4732022.999
330	4723800.019
331	4715741.364
332	4707652.462
333	4699278.833
334	4691574.666
335	4683189.745
336	4675599.203
337	4667672.853
338	4659741.587
339	4651477.545
340	4643537.785
341	4635637.561
342	4627958.849
343	4620454.373
344	4612618.265
345	4604570.086
346	4597077.375
347	4589133.999
348	4581868.728
349	4574483.033
350	4566944.462
351	4559477.025
352	4552513.986
353	4545391.654
354	4537856.667
355	4530991.8
356	4523943.949
357	4517047.508
358	4510108.368
359	4503181.129
360	4496630.66
361	4489724.31
362	4483124.988
363	4476611.449
364	4470222.518
365	4463230.826
366	4456906.037
367	4450508.124
368	4443694.578
369	4437918.944
370	4431438.877
371	4425368.257
372	4419311.167
373	4412662.468
374	4406399.253
375	4399866.559
376	4393803.219
377	4387414.695
378	4381502.277
379	4375750.186
380	4369784.902
381	4364366.466
382	4358400.74
383	4352972.786
384	4346897.341
385	4341366.737
386	4335991.827
387	4330628.946
388	4325036.948
389	4319538.375
390	4314103.62
391	4308485.643
392	4303014.16
393	4297619.872
394	4291896.729
395	4286322.539
396	4281100.062
397	4275630.246
398	4270296.454
399	4265239.52
400	4260018.605
401	4254451.399
402	4248951.523
403	4243344.353
404	4238364.191
405	4233039.637
406	4228204.638
407	4223794.422
408	4218809.538
409	4213843.856
410	4209208.09
411	4204370.768
412	4200096.567
413	4195488.815
414	4190975.595
415	4186376.376
416	4181760.032
417	4176715.657
418	4172026.132
419	4167399.091
420	4163047.63
421	4158490.775
422	4153466.903
423	4148444.961
424	4144282.717
425	4140067.644
426	4135320.156
427	4130925.681
428	4126436.287
429	4122167.766
430	4117768.863
431	4113696.701
432	4109231.047
433	4104982.13
434	4100609.521
435	4096219.069
436	4092402.145
437	4088179.084
438	4084160.663
439	4080032.874
440	4075969.354
441	4071629.947
442	4067734.535
443	4064052.123
444	4059825.558
445	4056103.389
446	4052165.297
447	4048599.296
448	4044663.645
449	4040627.681
450	4036855.713
451	4033019.976
452	4029519
453	4025990.44
454	4022887.992
455	4019015.771
456	4015174.42
457	4011520.25
458	4008007.241
459	4004878.848
460	4001569.966
461	3998149.479
462	3994809.946
463	3991446.181
464	3988328.807
465	3984843.603
466	3981562.218
467	3978322.388
468	3974712.885
469	3971568.167
470	3968073.491
471	3964788.645
472	3961986.74
473	3958787.637
474	3955860.391
475	3952694.758
476	3949315.18
477	3946314.742
478	3943156.715
479	3940074.783
480	3937156.111
481	3933907.874
482	3930507.721
483	3927504.247
484	3924478.276
485	3921374.713
486	3918709.626
487	3915916.527
488	3912856.238
489	3910198.237
490	3907065.713
491	3904295.709
492	3901806.435
493	3898846.319
494	3896213.904
495	3893517.876
496	3890840.286
497	3887922.362
498	3884874.915
499	3882291.385
500	3879648.095
501	3876839.748
502	3873760.462
503	3870902.996
504	3868105.335
505	3865651.805
506	3862942.408
507	3860455.846
508	3857647.238
509	3854912.641
510	3852365.255
511	3849843.209
512	3847413.713
513	3844789.336
514	3842246.92
515	3839253.345
516	3836578.706
517	3834380.343
518	3831906.813
519	3829262.391
520	3826431.916
521	3824034.488
522	3821804.284
523	3819292.486
524	3816541.633
525	3814429.681
526	3812012.505
527	3809714.707
528	3807223.73
529	3805153.74
530	3802558.789
531	3800537.061
532	3798654.338
533	3796631.32
534	3794206.947
535	3791877.007
536	3789831.735
537	3787382.939
538	3785223.342
539	3783237.184
540	3781440.262
541	3779260.67
542	3777471.978
543	3775450.88
544	3773744.375
545	3772110.617
546	3770192.032
547	3768308.647
548	3766056.237
549	3764233.668
550	3762218.061
551	3760195.375
552	3758067.261
553	3756017.093
554	3753806.354
555	3751851.076
556	3750027.017
557	3747976.432
558	3745774.864
559	3743688.834
560	3741697.006
561	3739874.534
562	3737891.657
563	3736001.473
564	3734287.836
565	3732364.522
566	3730510.753
567	3728571.307
568	3726500.832
569	3724546.829
570	3722922.584
571	3721362.076
572	3719511.59
573	3717896.74
574	3716016.621
575	3714265.884
576	3712668.965
577	3711297.588
578	3709448.157
579	3707965.653
580	3706303.042
581	3704507.831
582	3702631.468
583	3701175.339
584	3699203.577
585	3697961.049
586	3696432.35
587	3695182.6
588	3693578.89
589	3691916.611
590	3690163.338
591	3688792.787
592	3687134.506
593	3685559.42
594	3684298.703
595	3682747.458
596	3681389.52
597	3679751.594
598	3678479.1
