leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,213057
AANGBULD,BEZYMBBT,3895245
AANGBULD,BLANHGYY,61
AANGBULD,DEWLVASR,685722
AANGBULD,DNMPSKTB,4560469
AANGBULD,ELQGMQWE,898246
AANGBULD,EVBVXETX,8103045
AANGBULD,FITUEHWN,615077
AANGBULD,FTSVTTSR,187173
AANGBULD,FWUCPMMW,25226
AANGBULD,GKQIJYDH,5479052
AANGBULD,GYHKIVQT,25518016
AANGBULD,IGDVVKUD,57
AANGBULD,KJNSOAHR,16022190
AANGBULD,LLHREMKS,51757
AANGBULD,NAQIHUKZ,53
AANGBULD,OKMBFVKS,788086
AANGBULD,QVLMOEYE,878491
AANGBULD,SDWAYPIK,5294968
AANGBULD,UIFPPCLR,159465
AANGBULD,VUAFAIYJ,258381
AANGBULD,XIIEJNEE,1508
AANGBULD,ZCELVYQU,32616530
AANGBULD,ZKENOUDA,203019
AANGBULD,ZXERAXWP,193412
AHMDUILJ,APQGTRMF,212382
AHMDUILJ,ATLDMDBO,37687429
AHMDUILJ,BJALXPFS,183546
AHMDUILJ,BSRMSVTC,677799
AHMDUILJ,BUZIIBYG,14426262
AHMDUILJ,DUCMGGNW,658484
AHMDUILJ,FDXPMYGF,857
AHMDUILJ,FWUCPMMW,2439
AHMDUILJ,HXYSSRXE,5406042
AHMDUILJ,KAGJCHMR,7442
AHMDUILJ,LRVGFDFM,129969459
AHMDUILJ,OJIFIHMZ,3222878
AHMDUILJ,QRKRBYJL,3078802
AHMDUILJ,QVLMOEYE,897333
AHMDUILJ,RAWUKQMJ,3129764
AHMDUILJ,RJGPVEXX,368406
AHMDUILJ,SUOYXCHP,0
AHMDUILJ,UXSPKBJR,223460
AHMDUILJ,WPQXWHYO,19905682
AHMDUILJ,XIIEJNEE,2112
AHMDUILJ,XMKRPGLB,629414
AHMDUILJ,YSYHGLQK,3562
APQGTRMF,AANGBULD,447807
APQGTRMF,ATLDMDBO,48003439
APQGTRMF,AXULOHBQ,36714
APQGTRMF,BEZYMBBT,3315978
APQGTRMF,BJALXPFS,187984
APQGTRMF,BSRMSVTC,543286
APQGTRMF,BTMOEMEP,5589914
