leading_item_id,following_item_id,value
AANGBULD,DEWLVASR,1164
AANGBULD,DNMPSKTB,21900
AANGBULD,ELQGMQWE,0
AANGBULD,EVBVXETX,1606
AANGBULD,FDXPMYGF,20080
AANGBULD,GKQIJYDH,14461
AANGBULD,GYHKIVQT,68291
AANGBULD,IGDVVKUD,2750
AANGBULD,KJNSOAHR,4807
AANGBULD,LLHREMKS,11005
AANGBULD,LPHPPJUG,11591
AANGBULD,NAQIHUKZ,13622
AANGBULD,OKMBFVKS,4861
AANGBULD,QJQJSWFU,20525
AANGBULD,QVLMOEYE,3523
AANGBULD,RJGPVEXX,23776
AANGBULD,UIFPPCLR,45928
AANGBULD,VBYCLTYZ,15917
AANGBULD,VMAQSTJE,45753
AANGBULD,WHPUAOID,0
AANGBULD,WPQXWHYO,9677
AANGBULD,XIFHSOWQ,12397
AANGBULD,YSYHGLQK,7561
AANGBULD,ZXERAXWP,1942
AHMDUILJ,BSRMSVTC,9836
AHMDUILJ,HXYSSRXE,0
AHMDUILJ,KEUWZRKO,3202
AHMDUILJ,LRVGFDFM,131
AHMDUILJ,LUENUFGA,7976
AHMDUILJ,MIRCVAMV,8026
AHMDUILJ,RAWUKQMJ,241
AHMDUILJ,RJGPVEXX,10462
AHMDUILJ,SAHWCZNH,0
AHMDUILJ,SDWAYPIK,8661
AHMDUILJ,UGEQLMXM,1035
AHMDUILJ,UQYUIVVR,9205
AHMDUILJ,WPQXWHYO,9985
AHMDUILJ,XIFHSOWQ,429
AHMDUILJ,ZGJXVMNI,0
APQGTRMF,AHMDUILJ,0
APQGTRMF,BJALXPFS,346
APQGTRMF,BUZIIBYG,17374
APQGTRMF,DNMPSKTB,0
APQGTRMF,DUCMGGNW,4297
APQGTRMF,FRHNWLNI,17150
APQGTRMF,FWUCPMMW,15640
APQGTRMF,LSOIUSXD,15772
APQGTRMF,NAQIHUKZ,13475
APQGTRMF,QRKRBYJL,16576
APQGTRMF,ROACSLMG,14806
APQGTRMF,SNHYOVBM,8131
APQGTRMF,UGEQLMXM,15614
APQGTRMF,UIFPPCLR,0
APQGTRMF,WBLJNPZQ,1182
APQGTRMF,XIIEJNEE,0
APQGTRMF,XMKRPGLB,0
APQGTRMF,ZKENOUDA,1451
ATLDMDBO,DJBLNPNC,0
ATLDMDBO,NAQIHUKZ,293
ATLDMDBO,OXKURKXR,10776
ATLDMDBO,QRKRBYJL,549
ATLDMDBO,SAAYMURU,2399
ATLDMDBO,WQMVCOEM,0
ATLDMDBO,XMKRPGLB,9678
ATLDMDBO,ZCELVYQU,10059
AXULOHBQ,BSRMSVTC,81
AXULOHBQ,DBWLZWNK,0
AXULOHBQ,EVBVXETX,59809
AXULOHBQ,FCYBOAXC,36850
AXULOHBQ,FITUEHWN,6952
AXULOHBQ,FQCLOEXA,14650
AXULOHBQ,FTSVTTSR,2000
AXULOHBQ,HCDTGMST,0
AXULOHBQ,HXYSSRXE,0
AXULOHBQ,JSLXRQOK,22301
AXULOHBQ,KAGJCHMR,45221
AXULOHBQ,LLHREMKS,7200
AXULOHBQ,LSOIUSXD,0
AXULOHBQ,LUENUFGA,2418
AXULOHBQ,NZKBIBNU,56524
AXULOHBQ,OGAFEHLU,12966
AXULOHBQ,RJGPVEXX,0
AXULOHBQ,SAHWCZNH,7592
AXULOHBQ,SUOYXCHP,10015
AXULOHBQ,UXSPKBJR,11872
AXULOHBQ,VMAQSTJE,0
AXULOHBQ,VUAFAIYJ,0
AXULOHBQ,WBLJNPZQ,22587
AXULOHBQ,WHPUAOID,0
AXULOHBQ,WPQXWHYO,76844
AXULOHBQ,XIFHSOWQ,526
AXULOHBQ,XIPPENFQ,15506
AXULOHBQ,YSYHGLQK,6426
AXULOHBQ,ZCELVYQU,6918
AXULOHBQ,ZXERAXWP,35515
BEZYMBBT,BLANHGYY,14341
BEZYMBBT,ELQGMQWE,17791
BEZYMBBT,FDXPMYGF,37698
BEZYMBBT,FITUEHWN,6160
BEZYMBBT,GYHKIVQT,10728
BEZYMBBT,HXYSSRXE,990
BEZYMBBT,JPBRUTWP,5799
BEZYMBBT,LPHPPJUG,13299
BEZYMBBT,LTOYKIML,8649
BEZYMBBT,MBSBZBXA,13832
BEZYMBBT,OGAFEHLU,8599
BEZYMBBT,OKMBFVKS,7865
BEZYMBBT,QVLMOEYE,6878
BEZYMBBT,RCBZUSIM,9669
BEZYMBBT,SDWAYPIK,21156
BEZYMBBT,SNHYOVBM,0
BEZYMBBT,TGOELCAG,0
BEZYMBBT,VBYCLTYZ,3687
BEZYMBBT,WQMVCOEM,7354
BEZYMBBT,XIIEJNEE,10563
BJALXPFS,DEWLVASR,1495
BJALXPFS,FQCLOEXA,2367
BJALXPFS,FTSVTTSR,0
BJALXPFS,FWUCPMMW,0
BJALXPFS,HCDTGMST,4846
BJALXPFS,LLHREMKS,0
BJALXPFS,OXKURKXR,1516
BJALXPFS,QKXNTIIB,4817
BJALXPFS,ROACSLMG,299
BJALXPFS,SNHYOVBM,13642
BJALXPFS,VWMBASNE,299
BJALXPFS,XIFHSOWQ,10853
BJALXPFS,XIPPENFQ,1936
BLANHGYY,AXULOHBQ,24248
BLANHGYY,DNMPSKTB,20470
BLANHGYY,DUCMGGNW,22704
BLANHGYY,EVBVXETX,2814
BLANHGYY,FTSVTTSR,11316
BLANHGYY,HXYSSRXE,14656
BLANHGYY,KAGJCHMR,11871
BLANHGYY,LUENUFGA,1882
BLANHGYY,NAQIHUKZ,14400
BLANHGYY,NZKBIBNU,9998
BLANHGYY,OGAFEHLU,38
BLANHGYY,PYZMVUWD,20149
BLANHGYY,QKXNTIIB,28521
BLANHGYY,RJGPVEXX,13633
BLANHGYY,SAAYMURU,25732
BLANHGYY,SNHYOVBM,822
BLANHGYY,UGEQLMXM,1959
BLANHGYY,UQYUIVVR,75504
BLANHGYY,VMAQSTJE,1837
